"dataset","file","package_list"
"https://doi.org/10.7910/DVN/FB3O9W","gandhi-sumner-replication-code-1.R",""
"https://doi.org/10.7910/DVN/FB3O9W","using-estimates-code.R",""
"https://doi.org/10.7910/DVN/TRIEF2","main.R",""
"https://doi.org/10.7910/DVN/WX6ZPC","Figure Replication Code.R",""
"https://doi.org/10.7910/DVN/MPBGXL","figure_b1i.R",""
"https://doi.org/10.7910/DVN/MPBGXL","figure_b2ii.R",""
"https://doi.org/10.7910/DVN/MPBGXL","figure_b2i.R",""
"https://doi.org/10.7910/DVN/MPBGXL","figure_b3i.R",""
"https://doi.org/10.7910/DVN/MPBGXL","figure_b4i.R",""
"https://doi.org/10.7910/DVN/MPBGXL","figure_b5i.R",""
"https://doi.org/10.7910/DVN/MPBGXL","figure_c2i.R",""
"https://doi.org/10.7910/DVN/MPBGXL","figure_c3i.R",""
"https://doi.org/10.7910/DVN/MPBGXL","figure_c5ii.R",""
"https://doi.org/10.7910/DVN/MPBGXL","figure_c5i.R",""
"https://doi.org/10.7910/DVN/MPBGXL","functions.R",""
"https://doi.org/10.7910/DVN/MPBGXL","main.R","stargazer"
"https://doi.org/10.7910/DVN/MPBGXL","table_1.R",""
"https://doi.org/10.7910/DVN/MPBGXL","table_2.R",""
"https://doi.org/10.7910/DVN/MPBGXL","table_3.R",""
"https://doi.org/10.7910/DVN/MPBGXL","table_a3.R",""
"https://doi.org/10.7910/DVN/MPBGXL","table_b5i.R",""
"https://doi.org/10.7910/DVN/MPBGXL","table_c1i.R",""
"https://doi.org/10.7910/DVN/MPBGXL","table_c4ii.R",""
"https://doi.org/10.7910/DVN/MPBGXL","table_c4i.R",""
"https://doi.org/10.7910/DVN/MPBGXL","table_c5iii.R",""
"https://doi.org/10.7910/DVN/MPBGXL","table_c5ii.R",""
"https://doi.org/10.7910/DVN/MPBGXL","table_c5i.R",""
"https://doi.org/10.7910/DVN/GSMBFX","Replication_JOP_Park.R",""
"https://doi.org/10.7910/DVN/FIL6J1","main.R",""
"https://doi.org/10.7910/DVN/EHWM14","MunicipalAnalysis.R",""
"https://doi.org/10.7910/DVN/EHWM14","RegionalAnalysis.R",""
"https://doi.org/10.7910/DVN/EHWM14","SurveyAnalysis.R",""
"https://doi.org/10.7910/DVN/A3M7PY","FigureA2.R",""
"https://doi.org/10.7910/DVN/KPCLFQ","BCFvU_JOP_fig2.R","ggplot2"
"https://doi.org/10.7910/DVN/HMI4WY","Replication_main_study1a.R",""
"https://doi.org/10.7910/DVN/HMI4WY","Replication_main_study1b.R",""
"https://doi.org/10.7910/DVN/HMI4WY","Replication_main_study2.R",""
"https://doi.org/10.7910/DVN/HMI4WY","Replication_oa_section1.R",""
"https://doi.org/10.7910/DVN/HMI4WY","Replication_oa_section2.R",""
"https://doi.org/10.7910/DVN/HMI4WY","Replication_oa_section6.R",""
"https://doi.org/10.7910/DVN/HMI4WY","Replication_oa_section7.R",""
"https://doi.org/10.7910/DVN/HMI4WY","Replication_oa_study1a.R",""
"https://doi.org/10.7910/DVN/HMI4WY","Replication_oa_study1b.R",""
"https://doi.org/10.7910/DVN/HMI4WY","Replication_oa_study2.R",""
"https://doi.org/10.7910/DVN/HMI4WY","Replication_prep_study1a.R",""
"https://doi.org/10.7910/DVN/HMI4WY","Replication_prep_study1b_including_abstentions.R",""
"https://doi.org/10.7910/DVN/HMI4WY","Replication_prep_study1b.R",""
"https://doi.org/10.7910/DVN/HMI4WY","Replication_prep_study2.R",""
"https://doi.org/10.7910/DVN/HMI4WY","Replication_prep_supplementary.R",""
"https://doi.org/10.7910/DVN/ON8RBD","figures_appendix.R",""
"https://doi.org/10.7910/DVN/ON8RBD","figures.R",""
"https://doi.org/10.7910/DVN/ON8RBD","functions.R",""
"https://doi.org/10.7910/DVN/2CLJPA","genderExample_JOP_Revision.R","data.table"
"https://doi.org/10.7910/DVN/2CLJPA","sparseFirth.R",""
"https://doi.org/10.7910/DVN/RFYOH6","Generate Higher-Order Weights Matrices.R",""
"https://doi.org/10.7910/DVN/RFYOH6","Generate WWW Figures.R",""
"https://doi.org/10.7910/DVN/HJSQNL","3. JOP_replication_file.R",""
"https://doi.org/10.7910/DVN/HJSQNL","4. Functions.R",""
"https://doi.org/10.7910/DVN/HJSQNL","Study1_Appendix_A18.R",""
"https://doi.org/10.7910/DVN/HJSQNL","Study1_Appendix_A19.R",""
"https://doi.org/10.7910/DVN/HJSQNL","Study1_Denmark_coding.R",""
"https://doi.org/10.7910/DVN/HJSQNL","Study1_Denmark_results.R",""
"https://doi.org/10.7910/DVN/HJSQNL","Study1_Figure1_lrideology.R",""
"https://doi.org/10.7910/DVN/HJSQNL","Study1_Figure1_no_cynicism.R",""
"https://doi.org/10.7910/DVN/HJSQNL","Study1_Figure1.R",""
"https://doi.org/10.7910/DVN/HJSQNL","Study1_Germany_coding.R",""
"https://doi.org/10.7910/DVN/HJSQNL","Study1_Germany_results.R",""
"https://doi.org/10.7910/DVN/HJSQNL","Study1_meta.R",""
"https://doi.org/10.7910/DVN/HJSQNL","Study1_NL12_coding.R",""
"https://doi.org/10.7910/DVN/HJSQNL","Study1_NL12_results.R",""
"https://doi.org/10.7910/DVN/HJSQNL","Study1_NL14_coding.R",""
"https://doi.org/10.7910/DVN/HJSQNL","Study1_NL14_results.R",""
"https://doi.org/10.7910/DVN/HJSQNL","Study1_NL17_coding.R",""
"https://doi.org/10.7910/DVN/HJSQNL","Study1_NL17_results.R",""
"https://doi.org/10.7910/DVN/HJSQNL","Study1_Spain_coding.R",""
"https://doi.org/10.7910/DVN/HJSQNL","Study1_Spain_results.R",""
"https://doi.org/10.7910/DVN/HJSQNL","Study1_SSI_Appendix_A.15.R",""
"https://doi.org/10.7910/DVN/HJSQNL","Study1_SSI_Appendix_A16.R",""
"https://doi.org/10.7910/DVN/HJSQNL","Study1_Swiss_Election15_coding.R",""
"https://doi.org/10.7910/DVN/HJSQNL","Study1_Swiss_Election15_results.R",""
"https://doi.org/10.7910/DVN/HJSQNL","Study1_Swiss_Household09_coding.R",""
"https://doi.org/10.7910/DVN/HJSQNL","Study1_Swiss_Household09_results.R",""
"https://doi.org/10.7910/DVN/HJSQNL","Study1_Swiss_Household15_coding.R",""
"https://doi.org/10.7910/DVN/HJSQNL","Study1_Swiss_Household15_results.R",""
"https://doi.org/10.7910/DVN/HJSQNL","Study1_UK_BritishElectionStudies_coding.R",""
"https://doi.org/10.7910/DVN/HJSQNL","Study1_UK_BritishElectionStudies_recreate_data.R",""
"https://doi.org/10.7910/DVN/HJSQNL","Study1_UK_BritishElectionStudies_results.R",""
"https://doi.org/10.7910/DVN/HJSQNL","Study1_UK_UnderstandingSociety_coding.R",""
"https://doi.org/10.7910/DVN/HJSQNL","Study1_UK_UnderstandingSociety_results.R",""
"https://doi.org/10.7910/DVN/HJSQNL","Study1_US_ANES_coding.R",""
"https://doi.org/10.7910/DVN/HJSQNL","Study1_US_ANES_recreate_data.R",""
"https://doi.org/10.7910/DVN/HJSQNL","Study1_US_ANES_results.R",""
"https://doi.org/10.7910/DVN/HJSQNL","Study1_Venezuela_coding.R",""
"https://doi.org/10.7910/DVN/HJSQNL","Study1_Venezuela_results.R",""
"https://doi.org/10.7910/DVN/HJSQNL","Study2_Analyses.R",""
"https://doi.org/10.7910/DVN/HJSQNL","Study2_Appendix_B10.R",""
"https://doi.org/10.7910/DVN/HJSQNL","Study2_coding.R",""
"https://doi.org/10.7910/DVN/BHKSZR","1. Two stage RR simulations.R","scales"
"https://doi.org/10.7910/DVN/NCUSPZ","Replication_Figures.R",""
"https://doi.org/10.7910/DVN/E43MOQ","bias-sim.R",""
"https://doi.org/10.7910/DVN/E43MOQ","tab-fig-1.R",""
"https://doi.org/10.7910/DVN/TPZPIO","ANES_Sigma_Analysis.R","rstan"
"https://doi.org/10.7910/DVN/TPZPIO","ANES_Sigma_Models.R","rstan"
"https://doi.org/10.7910/DVN/TPZPIO","CCES_Sigma_2008_PartyID.R","rstan"
"https://doi.org/10.7910/DVN/TPZPIO","CCES_Sigma_2008.R","rstan"
"https://doi.org/10.7910/DVN/TPZPIO","CCES_Sigma_2012_PartyID.R","rstan"
"https://doi.org/10.7910/DVN/TPZPIO","CCES_Sigma_2012.R","rstan"
"https://doi.org/10.7910/DVN/TPZPIO","CCES_Sigma_2016_PartyID.R","rstan"
"https://doi.org/10.7910/DVN/TPZPIO","CCES_Sigma_2016.R","rstan"
"https://doi.org/10.7910/DVN/TPZPIO","CCES_Sigma_Analysis.R","rstan"
"https://doi.org/10.7910/DVN/TPZPIO","ggplot_theme.R",""
"https://doi.org/10.7910/DVN/3ADWK8","RepressedPols_Appendices_JOP.R",""
"https://doi.org/10.7910/DVN/3ADWK8","RepressedPols_DatasetDev_JOP.R","rdd"
"https://doi.org/10.7910/DVN/3ADWK8","RepressedPols_JOP.R",""
"https://doi.org/10.7910/DVN/QB1TUJ","(RCODE) LCA and plotting.R",""
"https://doi.org/10.7910/DVN/M98FXF","BrierleyNathan_brokers_APPENDIX.R",""
"https://doi.org/10.7910/DVN/M98FXF","BrierleyNathan_brokers_MAINTEXT.R",""
"https://doi.org/10.7910/DVN/UT25HQ","00_Helper_Cluster.R",""
"https://doi.org/10.7910/DVN/CMCZBR","analysis.R","KernSmooth"
"https://doi.org/10.7910/DVN/NIMLAR","00_batch.R",""
"https://doi.org/10.7910/DVN/NIMLAR","01_clean_checkquotas.R",""
"https://doi.org/10.7910/DVN/NIMLAR","02_experiment_analysis.R",""
"https://doi.org/10.7910/DVN/NIMLAR","03_policy_change.R",""
"https://doi.org/10.7910/DVN/NIMLAR","04_educ_homeowner_quota.R",""
"https://doi.org/10.7910/DVN/NIMLAR","05_analyze_mturk_180110.R",""
"https://doi.org/10.7910/DVN/NIMLAR","06_misc_appendix.R",""
"https://doi.org/10.7910/DVN/NIMLAR","functions.R",""
"https://doi.org/10.7910/DVN/HPZWJR","appendixB.R",""
"https://doi.org/10.7910/DVN/HPZWJR","fg1.R",""
"https://doi.org/10.7910/DVN/HPZWJR","fg2.R",""
"https://doi.org/10.7910/DVN/HPZWJR","fgA1.R",""
"https://doi.org/10.7910/DVN/HPZWJR","fgA2.R",""
"https://doi.org/10.7910/DVN/HPZWJR","fgA3.R",""
"https://doi.org/10.7910/DVN/HPZWJR","fgA4.R",""
"https://doi.org/10.7910/DVN/HPZWJR","fgA5.R",""
"https://doi.org/10.7910/DVN/HPZWJR","fgA6.R",""
"https://doi.org/10.7910/DVN/HPZWJR","table1.R",""
"https://doi.org/10.7910/DVN/HPZWJR","table2.R",""
"https://doi.org/10.7910/DVN/HPZWJR","table3.R",""
"https://doi.org/10.7910/DVN/HPZWJR","table4.R",""
"https://doi.org/10.7910/DVN/HPZWJR","table5.R",""
"https://doi.org/10.7910/DVN/HPZWJR","table6.R",""
"https://doi.org/10.7910/DVN/HPZWJR","tableA1.R",""
"https://doi.org/10.7910/DVN/HPZWJR","tableA2.R",""
"https://doi.org/10.7910/DVN/HPZWJR","tableA3.R",""
"https://doi.org/10.7910/DVN/HPZWJR","tableA5.R",""
"https://doi.org/10.7910/DVN/HPZWJR","tableA6.R",""
"https://doi.org/10.7910/DVN/HPZWJR","tableA7.R",""
"https://doi.org/10.7910/DVN/HPZWJR","tableA8.R",""
"https://doi.org/10.7910/DVN/HPZWJR","tableA9.R",""
"https://doi.org/10.7910/DVN/HPZWJR","tableC1.R",""
"https://doi.org/10.7910/DVN/HPZWJR","tableC2.R",""
"https://doi.org/10.7910/DVN/QVTCYP","brexitanalysisUPDATE.R",""
"https://doi.org/10.7910/DVN/QVTCYP","economicpolicy.R",""
"https://doi.org/10.7910/DVN/QVTCYP","perceivedopporedis.R",""
"https://doi.org/10.7910/DVN/Q0CNZA","1.run_all_files.R",""
"https://doi.org/10.7910/DVN/Q0CNZA","2.prohibition_referenda_information.R",""
"https://doi.org/10.7910/DVN/Q0CNZA","3.cong_rollcall_table.R",""
"https://doi.org/10.7910/DVN/Q0CNZA","4.rollcall_prohibition_analysis.R",""
"https://doi.org/10.7910/DVN/Q0CNZA","5.state_votes_analysis.R",""
"https://doi.org/10.7910/DVN/Q0CNZA","6.primary_analysis.R",""
"https://doi.org/10.7910/DVN/Q0CNZA","7.multi_panel_table_function.R",""
"https://doi.org/10.7910/DVN/FEWFTX","data_an_firsttwo_dad.R",""
"https://doi.org/10.7910/DVN/FEWFTX","data_an_firsttwo_mom.R",""
"https://doi.org/10.7910/DVN/FEWFTX","data_an_twin_dad_het_by_age.R",""
"https://doi.org/10.7910/DVN/FEWFTX","data_an_twin_dad.R",""
"https://doi.org/10.7910/DVN/FEWFTX","data_an_twin_mom_het_by_age.R",""
"https://doi.org/10.7910/DVN/FEWFTX","data_an_twin_mom.R",""
"https://doi.org/10.7910/DVN/FEWFTX","data_an_twin_old_20_dad.R",""
"https://doi.org/10.7910/DVN/FEWFTX","data_an_twin_old_20_mom.R",""
"https://doi.org/10.7910/DVN/FEWFTX","data_an_twin_placebo.R",""
"https://doi.org/10.7910/DVN/FEWFTX","data_cr_old_20.R",""
"https://doi.org/10.7910/DVN/FEWFTX","data_cr.R",""
"https://doi.org/10.7910/DVN/FEWFTX","data_cr_samesex.R",""
"https://doi.org/10.7910/DVN/FEWFTX","fathers_post09.R",""
"https://doi.org/10.7910/DVN/FEWFTX","figuresi1.R",""
"https://doi.org/10.7910/DVN/FEWFTX","figuresi2.R",""
"https://doi.org/10.7910/DVN/FEWFTX","figuresi3.R",""
"https://doi.org/10.7910/DVN/FEWFTX","figuresi4.R",""
"https://doi.org/10.7910/DVN/FEWFTX","figuresi5.R",""
"https://doi.org/10.7910/DVN/FEWFTX","mothers_post09.R",""
"https://doi.org/10.7910/DVN/FEWFTX","table1.R","xtable"
"https://doi.org/10.7910/DVN/FEWFTX","table2.R",""
"https://doi.org/10.7910/DVN/FEWFTX","tablesi1.R",""
"https://doi.org/10.7910/DVN/FEWFTX","tablesi2.R",""
"https://doi.org/10.7910/DVN/FEWFTX","tablesi3.R",""
"https://doi.org/10.7910/DVN/FEWFTX","twin_mechanism.R",""
"https://doi.org/10.7910/DVN/FEWFTX","twin_robust.R",""
"https://doi.org/10.7910/DVN/PEHPBY","Assurances_JOP_Analysis.R",""
"https://doi.org/10.7910/DVN/PEHPBY","Assurances_JOP_Cleaning.R",""
"https://doi.org/10.7910/DVN/DNDSPS","0_dataprep.R",""
"https://doi.org/10.7910/DVN/DNDSPS","1_main_models.R",""
"https://doi.org/10.7910/DVN/DNDSPS","1_models_partysupport.R","MASS"
"https://doi.org/10.7910/DVN/DNDSPS","2_descriptives.R",""
"https://doi.org/10.7910/DVN/DNDSPS","2_models_outcomes.R",""
"https://doi.org/10.7910/DVN/DNDSPS","3_post_partysupport.R",""
"https://doi.org/10.7910/DVN/DNDSPS","4_post_outcomes.R",""
"https://doi.org/10.7910/DVN/DNDSPS","PartIG_uncorr.R",""
"https://doi.org/10.7910/DVN/1Y2DLT","figures_descriptives.R",""
"https://doi.org/10.7910/DVN/PBHNHR","Partisan Types 0.R",""
"https://doi.org/10.7910/DVN/PBHNHR","Partisan Types 1.R",""
"https://doi.org/10.7910/DVN/PBHNHR","Partisan Types 2.R",""
"https://doi.org/10.7910/DVN/QVLR1C","Sensitivity.R",""
"https://doi.org/10.7910/DVN/F4LSCN","Figures.R",""
"https://doi.org/10.7910/DVN/WXTUIL","issp2009.R",""
"https://doi.org/10.7910/DVN/NDPXND","0_packages.R",""
"https://doi.org/10.7910/DVN/NDPXND","1_recoding.R",""
"https://doi.org/10.7910/DVN/NDPXND","9_graph_helpers.R",""
"https://doi.org/10.7910/DVN/NDPXND","Analysis.R",""
"https://doi.org/10.7910/DVN/NDPXND","Appendix.R",""
"https://doi.org/10.7910/DVN/V8U06V","ReplicationScript_JulieAnneWeaver_ElectoralDisconnection_Appendix.R",""
"https://doi.org/10.7910/DVN/V8U06V","ReplicationScript_JulieAnneWeaver_ElectoralDisconnection_MainText.R",""
"https://doi.org/10.7910/DVN/OKYC0B","conjoint-models.R",""
"https://doi.org/10.7910/DVN/OKYC0B","demographics.R",""
"https://doi.org/10.7910/DVN/OKYC0B","improvements-analysis.R",""
"https://doi.org/10.7910/DVN/OKYC0B","loadPkg.R",""
"https://doi.org/10.7910/DVN/OKYC0B","marginal-means.R",""
"https://doi.org/10.7910/DVN/OKYC0B","multinomial-models.R",""
"https://doi.org/10.7910/DVN/OKYC0B","revision-likely-voter.R",""
"https://doi.org/10.7910/DVN/OKYC0B","vcovCluster.R",""
"https://doi.org/10.7910/DVN/ECPIYP","analysis.R",""
"https://doi.org/10.7910/DVN/DAPNOX","Media Matters Replication Script - R.R",""
"https://doi.org/10.7910/DVN/8VBGXO","NZ-Conj-JOP.R",""
"https://doi.org/10.7910/DVN/8VBGXO","UK-Conj-JOP.R",""
"https://doi.org/10.7910/DVN/8VBGXO","US-Conj-JOP.R",""
"https://doi.org/10.7910/DVN/BLVJJH","multiracial_jop_final2020.R",""
"https://doi.org/10.7910/DVN/BLVJJH","multiracial_jop_functions_robust.R",""
"https://doi.org/10.7910/DVN/06ITCK","Haim et al JOP Replication - Analysis Code 2.R",""
"https://doi.org/10.7910/DVN/CKLJL3","Data Cleaning & Splitting.R",""
"https://doi.org/10.7910/DVN/CKLJL3","Gini Coefficients for SV and QV.R",""
"https://doi.org/10.7910/DVN/CKLJL3","Population Summary (SV & QV Combined).R",""
"https://doi.org/10.7910/DVN/CKLJL3","Preference Recode.R",""
"https://doi.org/10.7910/DVN/CKLJL3","QV StratProb Simulation (MLE).R",""
"https://doi.org/10.7910/DVN/CKLJL3","QVV Welfare Sim Plots - Inequality.R",""
"https://doi.org/10.7910/DVN/CKLJL3","QVV Welfare Sim Plots - Welfare.R",""
"https://doi.org/10.7910/DVN/CKLJL3","QVV Welfare Simulations.R",""
"https://doi.org/10.7910/DVN/CKLJL3","QV Welfare Sim Plots - Inequality.R",""
"https://doi.org/10.7910/DVN/CKLJL3","QV Welfare Sim Plots - Welfare.R",""
"https://doi.org/10.7910/DVN/CKLJL3","QV Welfare Simulations.R",""
"https://doi.org/10.7910/DVN/CKLJL3","Recalibrated QVV Welfare Sim Plots - Inequality.R",""
"https://doi.org/10.7910/DVN/CKLJL3","Recalibrated QVV Welfare Sim Plots - Welfare.R",""
"https://doi.org/10.7910/DVN/CKLJL3","Recalibrated QVV Welfare Simulations on Pop Imm.R",""
"https://doi.org/10.7910/DVN/CKLJL3","Recalibrated QV Welfare Sim Plots - Inequality.R",""
"https://doi.org/10.7910/DVN/CKLJL3","Recalibrated QV Welfare Sim Plots - Welfare.R",""
"https://doi.org/10.7910/DVN/CKLJL3","Recalibrated QV Welfare Simulations on Pop Imm.R",""
"https://doi.org/10.7910/DVN/CKLJL3","Recalibrated SV Welfare Sim Plots - Inequality.R",""
"https://doi.org/10.7910/DVN/CKLJL3","Recalibrated SV Welfare Sim Plots - Welfare.R",""
"https://doi.org/10.7910/DVN/CKLJL3","Recalibrated SV Welfare Simulations on Pop Imm.R",""
"https://doi.org/10.7910/DVN/CKLJL3","Sample KS & Prop Tests.R",""
"https://doi.org/10.7910/DVN/CKLJL3","Sample Preference Intensity Plots.R",""
"https://doi.org/10.7910/DVN/CKLJL3","ScatterPlot - Ref Points vs Max Ref Points.R",""
"https://doi.org/10.7910/DVN/CKLJL3","Simple Summary of Data.R",""
"https://doi.org/10.7910/DVN/CKLJL3","Subject Filtering.R",""
"https://doi.org/10.7910/DVN/CKLJL3","SV StratProb Simulation (MLE).R",""
"https://doi.org/10.7910/DVN/CKLJL3","SV Welfare Sim Plots - Inequality.R",""
"https://doi.org/10.7910/DVN/CKLJL3","SV Welfare Sim Plots - Welfare.R",""
"https://doi.org/10.7910/DVN/CKLJL3","SV Welfare Simulations.R",""
"https://doi.org/10.7910/DVN/CKLJL3","Victory Margins Bar Plot.R",""
"https://doi.org/10.7910/DVN/CKLJL3","Voting Count.R",""
"https://doi.org/10.7910/DVN/4VCBQB","Analysis.R","reshape2"
"https://doi.org/10.7910/DVN/4VCBQB","ggplot_theme.R","ggplot2"
"https://doi.org/10.7910/DVN/XSMCY5","BeazerReuterHousingPlots.R",""
"https://doi.org/10.7910/DVN/HOLUME","Create adjacency matrix.R",""
"https://doi.org/10.7910/DVN/GLT4FX","hbg_analysis.R",""
"https://doi.org/10.7910/DVN/GLT4FX","hbg_cleaning.R",""
"https://doi.org/10.7910/DVN/GLT4FX","hbg_group_cue.R",""
"https://doi.org/10.7910/DVN/GLT4FX","helper_functions.R",""
"https://doi.org/10.7910/DVN/GLT4FX","run_hbg_replication.R",""
"https://doi.org/10.7910/DVN/YILXB4","data_cleaning_functions.R","'haven', 'janitor'"
"https://doi.org/10.7910/DVN/YILXB4","descriptives.R",""
"https://doi.org/10.7910/DVN/YILXB4","lasso_covars.R","tidyverse, parsnip"
"https://doi.org/10.7910/DVN/YILXB4","online_survey_analyses.R",""
"https://doi.org/10.7910/DVN/YILXB4","online_survey_dataset.R",""
"https://doi.org/10.7910/DVN/YILXB4","panel_data_cleaning_code.R",""
"https://doi.org/10.7910/DVN/YILXB4","rct_code.R",""
"https://doi.org/10.7910/DVN/YILXB4","rdd_analyses.R",""
"https://doi.org/10.7910/DVN/YILXB4","rdd_dataset.R",""
"https://doi.org/10.7910/DVN/YILXB4","rdd_functions.R",""
"https://doi.org/10.7910/DVN/YILXB4","spending_ideb_analyses.R",""
"https://doi.org/10.7910/DVN/R27ULT","helpers.R",""
"https://doi.org/10.7910/DVN/R27ULT","meta_analyze_cates_cand_attributes.R",""
"https://doi.org/10.7910/DVN/R27ULT","meta_analyze_cates_cand_race.R",""
"https://doi.org/10.7910/DVN/R27ULT","meta_analyze_cates_resp_gender.R",""
"https://doi.org/10.7910/DVN/R27ULT","meta_analyze_cates_resp_pid.R",""
"https://doi.org/10.7910/DVN/R27ULT","meta_analyze_sates.R",""
"https://doi.org/10.7910/DVN/OYIAYK","figure1.R",""
"https://doi.org/10.7910/DVN/OYIAYK","figure3.R",""
"https://doi.org/10.7910/DVN/OYIAYK","figureA1.R",""
"https://doi.org/10.7910/DVN/OYIAYK","table2.R",""
"https://doi.org/10.7910/DVN/OYIAYK","table3.R",""
"https://doi.org/10.7910/DVN/OYIAYK","table4.R",""
"https://doi.org/10.7910/DVN/OYIAYK","tableA1A2A3 and figureA2.R","stargazer"
"https://doi.org/10.7910/DVN/OYIAYK","tableA5.R",""
"https://doi.org/10.7910/DVN/OYIAYK","tableA7toA12.R",""
"https://doi.org/10.7910/DVN/7NP2XH","01_load_and_merge_data.R",""
"https://doi.org/10.7910/DVN/7NP2XH","02_classify_manifestos.R",""
"https://doi.org/10.7910/DVN/7NP2XH","03_analysis_paper.R",""
"https://doi.org/10.7910/DVN/7NP2XH","04_analysis_appendix_si_a.R",""
"https://doi.org/10.7910/DVN/7NP2XH","04_analysis_appendix_si_c.R",""
"https://doi.org/10.7910/DVN/7NP2XH","04_analysis_appendix_si_d.R",""
"https://doi.org/10.7910/DVN/7NP2XH","04_analysis_appendix_si_e.R",""
"https://doi.org/10.7910/DVN/7NP2XH","04_analysis_appendix_si_f.R",""
"https://doi.org/10.7910/DVN/DBNBEU","Lupu-Warner-Affluence-Appendix-replication.R",""
"https://doi.org/10.7910/DVN/DBNBEU","Lupu-Warner-Affluence-data-cleaning-replication.R",""
"https://doi.org/10.7910/DVN/DBNBEU","Lupu-Warner-Affluence-replication.R",""
"https://doi.org/10.7910/DVN/QBNFFR","JKLP_JOP_appendix_replication.R",""
"https://doi.org/10.7910/DVN/QBNFFR","JKLP_JOP_replication.R",""
"https://doi.org/10.7910/DVN/4WNEE9","appendix-figure-03-1.R","magrittr"
"https://doi.org/10.7910/DVN/4WNEE9","appendix-figure-06-1.R","magrittr"
"https://doi.org/10.7910/DVN/4WNEE9","appendix-figure-08-1.R","magrittr"
