,dataverse_id,datavese_link,repo,Rank,Publication ,Impact Factor,Total Citations
This journal expects data sharing. Review Wiley’s Data Sharing policy where you will be able to see and select the data availability statement that is right for your submission.,,,,51,Regulation & Governance,3,1798
This journal applies the Taylor & Francis Basic Data Sharing Policy. Authors are encouraged to share or make open the data supporting the results or analyses presented in their paper where this does not violate the protection of human subjects or other valid privacy or security concerns.,,,,52,Geopolitics,2.9,2267
Data Availability Statement: this is a required statement which should be submitted with the main file in ScholarOne.,,,,53,Governance: An International Journal of Policy Administration and Institutions,2.9,2962
This journal applies the Taylor & Francis Basic Data Sharing Policy. Authors are encouraged to share or make open the data supporting the results or analyses presented in their paper where this does not violate the protection of human subjects or other valid privacy or security concerns.,,,,54,Journal of European Integration,2.9,1465
No data statement,,,,55,African Affairs,2.8,2035
No data statement,,,,56,The ANNALS of the American Academy of Political and Social Science,2.8,7167
"Authors must consider making public their data except in valid situations for ethical reasons. In accordance with the principles of open science, we ask that authors deposit their data in a publicly available repository.",,,,57,Government and Opposition,2.8,2053
"For contributions based on quantitative data, Party Politics encourages authors to submit their data set (or a link to it) and, where applicable, their syntax/command files for the analyses presented in the contribution.",,,,58,Party Politics,2.7,3467
No data statement,,,,60,Studies in Comparative International Development,2.7,1312
This journal applies the Taylor & Francis Basic Data Sharing Policy. Authors are encouraged to share or make open the data supporting the results or analyses presented in their paper where this does not violate the protection of human subjects or other valid privacy or security concerns.,,,,62,Journal of Information Technology & Politics,2.6,926
This journal applies the Taylor & Francis Basic Data Sharing Policy. Authors are encouraged to share or make open the data supporting the results or analyses presented in their paper where this does not violate the protection of human subjects or other valid privacy or security concerns.,,,,63,"Territory, Politics, Governance",2.6,1081
"Subject to appropriate ethical and legal considerations, authors are encouraged to:     share your research data in a relevant public data repository,     include a data availability statement linking to your data. If it is not possible to share your data, we encourage you to consider using the statement to explain why it cannot be shared,     cite this data in your research",,,,64,Journal of Current Southeast Asian Affairs,2.5,395
"  make clear how data collection was undertaken (in line with the norms of the methodological approach of the paper), including ethical reflection on practices to mitigate the potential negative impacts on vulnerable communities/individuals (as appropriate)",,,,65,International Political Sociology,2.4,1193
No data statement,,,,67,Politics & Society,2.4,2120
This journal applies the Taylor & Francis Basic Data Sharing Policy. Authors are encouraged to share or make open the data supporting the results or analyses presented in their paper where this does not violate the protection of human subjects or other valid privacy or security concerns.,,,,68,Terrorism and Political Violence,2.4,2516
No data statement,,,,69,Comparative Politics,2.3,2550
"This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published article",,,,70,Electoral Studies,2.3,3981
"For contributions based on quantitative data, European Union Politics asks authors to submit their data set and, where applicable, their syntax/command files for the analyses presented in the contribution. ",,,,71,European Union Politics,2.3,1486
"At Sage we are committed to facilitating openness, transparency and reproducibility of research. Where relevant, the Journal encourages authors to share their research data in a suitable public repository subject to ethical considerations and where data is included, to add a data accessibility statement in their manuscript file.",,,,72,International Political Science Review,2.2,2030
JCMS requests that authors submitting any primary data used in their research articles to be published in the online appendix or provide detailed information within the submitted manuscript on how the data can be obtained.,,,,73,JCMS: Journal of Common Market Studies,2.2,4047
No data statement,,,,74,Nations and Nationalism,2.2,1827
No data statement,,,,75,Philosophy & Public Affairs,2.2,2641
No data statement,,,,76,Politics and Governance,2.2,1636
"Authors submitting articles including quantitative analyses are strongly encouraged to deposit their data, codebooks, and related files in an open-source data repository like Dataverse or the ICPSR data depository upon publication. The sharing of data used in published articles is an important norm that increase the credibility of findings and the validity of research. ",,,,77,Post-Soviet Affairs,2.2,914
"As a leading outlet for political research, PRQ is dedicated to increasing research transparency. The corresponding author of a manuscript accepted for publication is expected to address data availability and replication in the final draft, typically in a footnote. PRQ's authors may use an online public archive of their choice, or may submit their replication data directly to the PRQ editorial office for long-term storage on Sage Publications' servers, where they will be accessible as supplementary material through PRQ's website. While the data necessary to replicate results are required to be publicly available, we also suggest that authors include any codebook, specialized computer programs, lists of computer program recodes, or program-specific syntax files, as appropriate.",,,,78,Political Research Quarterly,2.1,4821
This journal expects and peer reviews data sharing. Review Wiley’s Data Sharing policy where you will be able to see and select the data availability statement that is right for your submission.,,,,79,Review of Policy Research,2.1,1292
The SPSR requires that the data and other material to replicate the analyses presented in an article is made publicly available.,,,,80,Swiss Political Science Review,2.1,919
This journal applies the Taylor & Francis Basic Data Sharing Policy. Authors are encouraged to share or make open the data supporting the results or analyses presented in their paper where this does not violate the protection of human subjects or other valid privacy or security concerns.,,,,81,Contemporary Politics,2,747
"Subject to appropriate ethical and legal considerations, authors are encouraged to:     share your research data in a relevant public data repository,     include a data availability statement linking to your data. If it is not possible to share your data, we encourage you to consider using the statement to explain why it cannot be shared,     cite this data in your research",,,,82,Cooperation and Conflict,2,1168
"This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings, which may also include software, code, models, algorithms, protocols, methods and other useful materials related to the project.",,,,83,European Journal of Political Economy,2,3861
"Accepted articles must clearly document the data, methods used in the analyses, and materials used to conduct the research, and make them available to researchers for purposes of reproducing the results or replicating the procedure. ",,,,84,European Political Science,2,678
No data statement,,,,85,The Political Quarterly,2,1318
No data statement,,,,86,Studies in Conflict & Terrorism,2,2300
"Global Policy has adopted Wiley’s ‘Expects’ Data Sharing Policy. Where appropriate and reasonable, authors who are reporting on original data (including code, models, algorithms, methods, etc.) are expected to archive the data underpinning their paper in a public repository. ",,,,87,Global Policy,1.9,1828
No data statement,,,,88,International Journal of Conflict and Violence,1.9,364
This journal applies the Taylor & Francis Basic Data Sharing Policy. Authors are encouraged to share or make open the data supporting the results or analyses presented in their paper where this does not violate the protection of human subjects or other valid privacy or security concerns.,,,,90,Journal of Strategic Studies,1.9,1157
This journal applies the Taylor & Francis Basic Data Sharing Policy. Authors are encouraged to share or make open the data supporting the results or analyses presented in their paper where this does not violate the protection of human subjects or other valid privacy or security concerns.,,,,92,Local Government Studies,1.9,1452
"Political Studies Review requests all authors submitting any primary data used in their research articles alongside their article submissions to be published in the online version of the journal, or provide detailed information in their articles on how the data can be obtained.",,,,93,Political Studies Review,1.9,768
This journal encourages data sharing. Review Wiley’s Data Sharing policy where you will be able to see and select the data availability statement that is right for your submission.,,,,94,Social Science Quarterly,1.9,5418
"The British Journal of Politics and International Relations requests all authors submitting any primary data used in their research articles [“alongside their article submissions” or “if the articles are accepted”] to be published in the online version of the journal, or provide detailed information in their articles on how the data can be obtained. ",,,own website,95,British Journal of Politics & International Relations,1.8,1444
No data statement,,,,96,Business and Politics,1.8,720
This journal applies the Taylor & Francis Basic Data Sharing Policy. Authors are encouraged to share or make open the data supporting the results or analyses presented in their paper where this does not violate the protection of human subjects or other valid privacy or security concerns.,,,,97,Citizenship Studies,1.8,1888
No data statement,,,,98,Contemporary Political Theory,1.8,553
"Where ethically feasible, the International Journal of Public Opinion Research strongly encourages authors to make all data and software code on which the conclusions of the paper rely available to readers. We suggest that data be presented in the main manuscript or additional supporting files, or deposited in a public repository whenever possible.",,,,99,International Journal of Public Opinion Research,1.8,1669
This journal applies the Taylor & Francis Basic Data Sharing Policy. Authors are encouraged to share or make open the data supporting the results or analyses presented in their paper where this does not violate the protection of human subjects or other valid privacy or security concerns.,,,,100,"Journal of Elections, Public Opinion and Parties",1.8,914
